,percent_NH_WHITE,percent_NH_BLACK,percent_NH_AMIN,percent_NH_ASIAN,percent_NH_NHPI,percent_NH_OTHER,percent_NH_2MORE,percent_HISP,percent_H_WHITE,percent_H_BLACK,percent_H_AMIN,percent_H_ASIAN,percent_H_NHPI,percent_H_OTHER,percent_H_2MORE,percent_LESS_10K,percent_10K_15K,percent_15K_20K,percent_20K_25K,percent_25K_30K,percent_30K_35K,percent_35K_40K,percent_40K_45K,percent_45K_50K,percent_50K_60K,percent_60K_75K,percent_75K_100K,percent_100K_125K,percent_125K_150K,percent_150K_200K,percent_200K_MORE,vote_GARCIA_2015
1646,0.016304348,0.820652174,1.27E-12,0,0,6.80E-12,0.002173913,0.160869565,0.023913044,0.02173913,0.006521739,0,0,0.09673913,0.011956522,0.073148087,0.007754431,0.025895621,0.026084753,0.016068695,0.01134516,0.006805185,0.013232106,0.001702192,0.024762419,0.02854069,0.028164812,0.016636489,0.002836988,0.001891324,0.002458721,0.178137652
1647,0.787852864,0.017108639,0.001710864,0.034217281,0,0.003421728,0.018819504,0.136869119,0.083832336,0,0,0.001710864,0,0.043627032,0.007698888,0.008821834,0.006100816,0.014592733,0.011184653,0.006705136,0.007148182,0.001319665,0.017668791,0.014949879,0.019761419,0.060078129,0.057020882,0.063560531,0.040315658,0.060563002,0.070985221,0.244239631
1648,0.509103169,0.010788941,0.002697235,0.020229265,0,0.002022926,0.012137559,0.443020904,0.178691841,0.005394471,0.010114632,4.21E-12,0,0.223196224,0.025623736,0.005709653,0.004798615,0.005880999,0.023262368,0.023118976,0.00464187,0.002240291,0.006734205,0.015245511,0.015877902,0.041507405,0.046249152,0.016924465,0.032648295,0.023065852,0.015830246,0.242718447
1649,0.8162413,0.038051044,0.001856148,0.052436195,0,0.005104408,0.015313225,0.07099768,0.042691415,0.001856148,0.001856148,0.000928074,0,0.020417633,0.00324826,0.020358135,0.00328789,0.004207483,0.011004183,0.007745381,0.004207483,0.004531136,0.002589219,0.003287889,0.018739873,0.044228996,0.033602724,0.033622113,0.026376754,0.035201594,0.11104684,0.235521236
1650,0.692363115,0.042507204,0.000720461,0.069164265,0,0.000720461,0.025216138,0.169308355,0.072046108,0.00648415,0.000720461,0.000720461,0,0.07276657,0.016570605,0.023102164,0.005089809,0.001994889,0.013548314,0.034704145,0.016283966,0.009558408,0.020370491,0.02868472,0.030160703,0.076171723,0.073695182,0.060874087,0.023854667,0.0167077,0.045844854,0.22260274
1651,0.03788634,0.171485541,8.68E-10,0.012961115,3.42E-11,0,0.007976071,0.769690932,0.23828515,0.012961117,0.025922232,0.002991027,0.006979062,0.450648059,0.031904285,0.041851297,0.007024958,0.036350376,0.022800934,0.038628861,0.010392416,0.020985171,0.00708364,0.0007922,0.032834532,0.013554489,0.029501462,0.00076286,0.006410485,0.001114948,1.82E-10,0.162679426
1652,0.588470777,0.004803843,0,0.14091273,0.000800641,0.000800641,0.016813451,0.247397918,0.12570056,0.000800641,0.004803843,0.003202562,0,0.100080064,0.012810248,0.031130048,0.005630444,0.014412583,3.82E-09,0.005929532,0.023306884,1.32E-09,0.042415255,3.39E-09,0.017047406,0.01382094,0.064364978,0.049640241,0.011964694,0.005929535,0.027050226,0.202380952
1653,0.758293836,0.002369668,0,0.125592419,0,0.002369668,0.02843602,0.082938389,0.066350711,0,0,0,0,0.01421801,0.002369668,0.07021184,0.016588291,7.51E-09,0.062117767,0.013356995,0.02631041,0.011696013,0.008985327,0.027647149,0.088034089,0.141421412,0.109175351,0.058053444,0.105580932,0.064167663,0.106262831,0.29245283
1654,0.72520818,0.002271007,0,0.025738076,0.002271007,0.000757002,0.01741105,0.226343678,0.11582135,0.003028009,0.000757002,5.96E-10,0,0.089326264,0.017411051,0.049205144,0.005299019,0.011355035,0.044663132,0.013626041,3.31E-09,0.024981076,1.37E-09,0.003785012,0.011355041,0.022710076,0.0999243,0.022710072,0.027252083,0.021953068,0.023467071,0.268199234
1655,0.846290803,0.01602374,0.00356083,0.054599406,0.000593472,0.001186945,0.018397626,0.059347179,0.036795252,1.72E-10,0,0.000593472,0,0.013649851,0.008308605,0.024300388,0.004154302,5.20E-10,0.017210678,0.014954694,0.018869227,0.010027096,0.021896529,0.010800392,0.04536764,0.095329229,0.134080747,0.057053282,0.084766622,0.0453337,0.053198688,0.214046823
1656,0.814508726,0.004591368,0,0.061524334,0,0.000918274,0.008264463,0.110192836,0.077134986,0.000918274,0,0,0,0.026629934,0.005509642,0.056812833,0.006395798,0.034382309,5.46E-10,0.04154529,8.61E-10,6.46E-10,0.013857562,0.021731188,0.025070435,0.016344819,0.078036917,0.022475757,0.02993752,0.022532298,0.031810247,0.228070175
1657,0.702678571,0.010714285,0.005357143,0.070535721,0,0,0.016071428,0.194642853,0.116071426,0,0.000892857,0.000892857,0,0.069642855,0.007142857,0.024999997,0.006215058,0.014672649,0.052678564,0.015195424,0.009355938,0.006518233,0.00373221,0.017384104,0.04326528,0.025268229,0.064362365,0.018357795,0.007276165,0.015995185,0.023022264,0.285714286
1658,0.727125508,0.012955466,0.001619433,0.041295547,0,0.000809717,0.013765182,0.202429148,0.091497975,0,0.004858299,0.000809717,0,0.089068825,0.016194332,1.18E-10,0.005630998,0.005587051,0.011247214,0.004217705,0.005330761,0.011247214,0.023358585,0.023607484,0.023446479,0.046204589,0.07150383,0.053886312,0.046483053,0.064979912,0.065872832,0.315625
